x-axis,1,2
second,Volt,Volt
+940.00E-03,-12.56E-03,+3.27387E+00
+950.00E-03,-7.54E-03,+3.30402E+00
+960.00E-03,-7.54E-03,+3.28392E+00
+970.00E-03,-7.54E-03,+3.27387E+00
+980.00E-03,-7.54E-03,+3.28894E+00
+990.00E-03,-7.54E-03,+3.27387E+00
+1.00000E+00,-7.54E-03,+3.28894E+00
+1.01000E+00,-17.59E-03,+3.27387E+00
+1.02000E+00,-7.54E-03,+3.29899E+00
+1.03000E+00,-17.59E-03,+3.28894E+00
+1.04000E+00,-22.61E-03,+3.26884E+00
+1.05000E+00,-22.61E-03,+3.26884E+00
+1.06000E+00,-17.59E-03,+3.30402E+00
+1.07000E+00,-7.54E-03,+3.28392E+00
+1.08000E+00,-2.51E-03,-7.54E-03
+1.09000E+00,-2.51E-03,-7.54E-03
+1.10000E+00,+27.64E-03,-12.56E-03
+1.11000E+00,+37.69E-03,-2.51E-03
+1.12000E+00,+52.76E-03,-22.61E-03
+1.13000E+00,+52.76E-03,-7.54E-03
+1.14000E+00,+72.86E-03,-27.64E-03
+1.15000E+00,+77.89E-03,-7.54E-03
+1.16000E+00,+113.07E-03,-2.51E-03
+1.17000E+00,+113.07E-03,+7.54E-03
+1.18000E+00,+128.14E-03,+2.51E-03
+1.19000E+00,+113.07E-03,+2.16834E+00
+1.20000E+00,+108.04E-03,+3.17337E+00
+1.21000E+00,+92.96E-03,+3.26884E+00
+1.22000E+00,+72.86E-03,+3.30402E+00
+1.23000E+00,+72.86E-03,+3.30402E+00
+1.24000E+00,+57.79E-03,+3.30402E+00
+1.25000E+00,+67.84E-03,+3.28894E+00
+1.26000E+00,+32.66E-03,+3.28894E+00
+1.27000E+00,+32.66E-03,+3.28894E+00
+1.28000E+00,+17.59E-03,+3.29397E+00
+1.29000E+00,+32.66E-03,+3.28392E+00
+1.30000E+00,+17.59E-03,+3.26884E+00
+1.31000E+00,+12.56E-03,+3.27387E+00
+1.32000E+00,+17.59E-03,+3.28392E+00
+1.33000E+00,+22.61E-03,+3.28392E+00
+1.34000E+00,+7.54E-03,+3.27387E+00
+1.35000E+00,+12.56E-03,+3.26884E+00
+1.36000E+00,-7.54E-03,+3.27889E+00
+1.37000E+00,-2.51E-03,+3.28392E+00
+1.38000E+00,+2.51E-03,+3.28392E+00
+1.39000E+00,+7.54E-03,+3.28894E+00
+1.40000E+00,-22.61E-03,+3.28894E+00
+1.41000E+00,+7.54E-03,+3.28392E+00
+1.42000E+00,+2.51E-03,+3.28894E+00
