time,V(boot0_mod),V(boot0_mos),V(nrst_mod),V(nrst_mos)
2.83500007114772,0.00003203352,-0.0000001638247,3.263945,3.28385
2.83500007143764,0.00003203122,-0.0000001652902,3.263854,3.283759
2.83500007182648,0.00003202814,-0.000000167254,3.263732,3.283636
2.83500007220886,0.00003202512,-0.0000001691833,3.263612,3.283515
2.83500007262965,0.00003202179,-0.0000001713042,3.263479,3.283382
2.83500007309614,0.00003201811,-0.0000001736527,3.263333,3.283235
2.83500007360397,0.00003201411,-0.0000001762061,3.263174,3.283075
2.83500007424882,0.00003200904,-0.0000001794437,3.262971,3.282871
2.83500007513538,0.00003200207,-0.0000001838862,3.262693,3.282591
2.83500007627613,0.00003199314,-0.0000001895879,3.262335,3.28223
2.83500007735555,0.0000319847,-0.0000001949682,3.261996,3.281889
2.83500007851486,0.00003197567,-0.0000002007307,3.261632,3.281523
2.83500007962405,0.00003196705,-0.0000002062288,3.261283,3.281173
2.8350000809383,0.00003195687,-0.0000002127245,3.260871,3.280758
2.83500008240974,0.0000319455,-0.0000002199731,3.260409,3.280293
2.83500008425354,0.00003193132,-0.000000229021,3.25983,3.27971
2.83500008642358,0.0000319147,-0.0000002396211,3.259149,3.279025
2.83500008915306,0.00003189391,-0.0000002528815,3.258292,3.278163
2.83500009249374,0.00003186863,-0.0000002690055,3.257243,3.277108
2.83500009641905,0.00003183915,-0.0000002878089,3.256011,3.275869
2.83500010108249,0.00003180441,-0.000000309959,3.254548,3.274397
2.83500010654497,0.00003176411,-0.0000003356589,3.252835,3.272673
2.83500011304316,0.00003171666,-0.000000365911,3.250798,3.270624
2.83500012070914,0.00003166134,-0.0000004011867,3.248397,3.268208
2.83500012984882,0.00003159621,-0.0000004427098,3.245536,3.26533
2.83500014068752,0.00003152004,-0.0000004912666,3.242147,3.26192
2.83500015366674,0.00003143022,-0.0000005485243,3.238093,3.257841
2.83500016922145,0.00003132438,-0.0000006159813,3.23324,3.252959
2.83500018807916,0.00003119849,-0.0000006962039,3.227368,3.247051
2.8350002110103,0.00003104871,-0.0000007916269,3.220241,3.23988
2.83500023898006,0.00003087057,-0.0000009050675,3.211569,3.231156
2.8350002487986,0.00003080919,-0.000000944144,3.20853,3.228098
2.83500025453961,0.00003077356,-0.0000009668188,3.206755,3.226312
2.8350002595268,0.00003074277,-0.0000009864145,3.205214,3.224761
2.83500026571207,0.00003070478,-0.000001010589,3.203303,3.222839
2.83500027243995,0.00003066371,-0.000001036723,3.201226,3.220749
2.83500027620364,0.00003064085,-0.00000105127,3.200064,3.219581
2.8350002798984,0.00003061848,-0.000001065501,3.198925,3.218434
2.83500028342269,0.00003059721,-0.000001079029,3.197838,3.217341
2.83500028699652,0.00003057572,-0.000001092701,3.196736,3.216233
2.83500029055743,0.00003055437,-0.000001106279,3.195639,3.215129
2.83500029409007,0.00003053327,-0.000001119704,3.194551,3.214034
2.83500029785176,0.00003051086,-0.00000113395,3.193393,3.212868
2.83500030138086,0.00003048992,-0.00000114727,3.192306,3.211776
2.83500030509503,0.00003046795,-0.000001161241,3.191163,3.210626
2.83500030874586,0.00003044642,-0.000001174926,3.19004,3.209496
2.83500031268022,0.00003042331,-0.000001189622,3.188831,3.208279
2.83500031676734,0.00003039938,-0.000001204831,3.187574,3.207015
2.83500032130927,0.0000303729,-0.000001221665,3.186179,3.205611
2.83500032626497,0.00003034413,-0.000001239951,3.184657,3.20408
2.83500033196881,0.00003031118,-0.000001260893,3.182906,3.202318
2.83500033852027,0.00003027354,-0.00000128481,3.180897,3.200296
2.83500034642068,0.00003022845,-0.000001313457,3.178475,3.19786
2.83500035605431,0.00003017391,-0.000001348105,3.175524,3.194891
2.83500036826205,0.00003010548,-0.000001391564,3.171789,3.191133
2.83500038354649,0.00003002087,-0.000001445282,3.167119,3.186435
2.83500040199623,0.00002992031,-0.000001509107,3.16149,3.180772
2.83500042273275,0.00002980929,-0.000001579532,3.155176,3.17442
2.83500044553634,0.00002968964,-0.0000016554,3.148247,3.167449
2.83500047044842,0.00002956179,-0.000001736424,3.140696,3.159851
2.83500049785425,0.00002942453,-0.000001823354,3.132408,3.151513
2.83500052787806,0.00002927816,-0.000001915983,3.123355,3.142404
2.83500056068063,0.00002912295,-0.000002014132,3.113493,3.132483
2.83500059637788,0.0000289595,-0.000002117396,3.102797,3.121721
2.83500063530986,0.00002878757,-0.000002225896,3.091173,3.110027
2.83500067791122,0.00002860684,-0.000002339818,3.078504,3.09728
2.83500072489164,0.00002841624,-0.000002459788,3.064592,3.083284
2.83500077719966,0.00002821445,-0.000002586586,3.049177,3.067775
2.8350008362458,0.00002799942,-0.000002721433,3.03187,3.050362
2.83500085457639,0.00002793537,-0.000002761537,3.026517,3.044977
2.83500086541945,0.00002789807,-0.000002784875,3.023355,3.041795
2.83500087253588,0.00002787383,-0.000002800039,3.021281,3.039709
2.83500088006958,0.00002784837,-0.00000281596,3.019088,3.037503
2.83500088821585,0.00002782107,-0.000002833025,3.016718,3.035118
2.83500089465428,0.00002779967,-0.000002846403,3.014846,3.033235
2.83500090332881,0.00002777106,-0.000002864273,3.012326,3.030699
2.83500091177986,0.00002774345,-0.000002881514,3.009873,3.028231
2.83500092287171,0.0000277076,-0.000002903894,3.006656,3.024995
2.83500093583538,0.00002766624,-0.000002929693,3.002901,3.021217
2.83500095011851,0.00002762136,-0.000002957677,2.998769,3.01706
2.83500096718678,0.00002756865,-0.000002990516,2.993839,3.0121
2.83500098678352,0.00002750936,-0.000003027422,2.988189,3.006415
2.83500101069502,0.00002743877,-0.000003071317,2.981309,2.999493
2.83500103872215,0.00002735843,-0.000003121201,2.973265,2.9914
2.83500107259859,0.00002726472,-0.000003179286,2.963571,2.981647
2.83500111203613,0.00002716021,-0.000003243932,2.952325,2.970333
2.835001158621,0.00002704292,-0.00000331629,2.939097,2.957024
2.83500121202137,0.00002691641,-0.000003394076,2.924006,2.941841
2.83500127363642,0.00002678057,-0.000003477245,2.90669,2.92442
2.83500134317168,0.00002663971,-0.000003563011,2.887272,2.904883
2.83500142195014,0.00002649527,-0.00000365034,2.865429,2.882907
2.83500151009609,0.00002635161,-0.000003736382,2.841184,2.858515
2.83500160949775,0.00002621085,-0.000003819601,2.814091,2.831256
2.83500172163219,0.00002607706,-0.000003897231,2.783837,2.800818
2.83500185012988,0.00002595352,-0.000003966837,2.749568,2.76634
2.83500199903357,0.00002584616,-0.000004024223,2.710384,2.726918
2.83500217483066,0.00002576311,-0.000004063573,2.664843,2.681099
2.83500238447474,0.00002571739,-0.000004075835,2.611532,2.627464
2.8350026362604,0.00002572659,-0.000004048883,2.548913,2.564464
2.83500293773359,0.00002581179,-0.00000396838,2.475909,2.491014
2.83500328578962,0.00002598812,-0.00000382475,2.394218,2.408826
2.83500360627279,0.00002620738,-0.000003655496,2.32139,2.335553
2.83500394193125,0.00002648047,-0.000003449976,2.247492,2.261204
2.83500425637573,0.00002676653,-0.000003237787,2.180406,2.19371
2.83500458454072,0.00002708802,-0.000003001408,2.112533,2.125424
2.83500490611446,0.00002741998,-0.000002758771,2.04808,2.060578
2.83500524481357,0.00002778293,-0.000002494548,1.982326,1.994422
2.83500558717106,0.00002816006,-0.000002220791,1.918012,1.929716
2.8350059503262,0.00002856837,-0.000001925027,1.852076,1.863379
2.83500632620495,0.00002899754,-0.000001614627,1.786223,1.797124
2.83500672962585,0.00002946357,-0.000001277966,1.718155,1.728641
2.83500715786858,0.00002996272,-0.0000009176884,1.648741,1.658804
2.83500762650498,0.00003051276,-0.0000005209398,1.575997,1.585616
2.83500813887823,0.00003111749,-0.00000008498373,1.50014,1.509296
2.83500871487928,0.00003180039,0.0000004071247,1.41922,1.427882
2.83500936717639,0.00003257675,0.0000009663702,1.332846,1.340981
2.83501012719288,0.00003348444,0.000001620014,1.238818,1.24638
2.8350110270994,0.00003456272,0.000002396273,1.136016,1.142951
2.83501212829157,0.00003588653,0.000003348994,1.021723,1.02796
2.83501350993268,0.00003755318,0.00000454809,0.8943594,0.8998195
2.83501529708442,0.00003971695,0.000006104327,0.7526596,0.7572548
2.83501759022463,0.00004250418,0.000008108264,0.6028019,0.6064825
2.83502030708418,0.00004581901,0.00001049072,0.4628987,0.4657253
2.83502314872012,0.00004929747,0.00001299004,0.3510509,0.3531946
